meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
"a airplane and a car, the airplane is bigger than the car.",airplane,car,,,bigger,,
"a person and a horse, the person is larger than the horse.",person,horse,,,larger,,
"a horse and a chair, the horse is bigger than the chair.",horse,chair,,,bigger,,
"a horse and a banana, the horse is bigger than the banana.",horse,banana,,,bigger,,
"a horse and a airplane, the horse is smaller than the airplane.",horse,airplane,,,smaller,,
"a airplane and a chair, the airplane is larger than the chair.",airplane,chair,,,larger,,
"a banana and a airplane, the banana is bigger than the airplane.",banana,airplane,,,bigger,,
"a horse and a dog, the horse is larger than the dog.",horse,dog,,,larger,,
"a banana and a person, the banana is smaller than the person.",banana,person,,,smaller,,
"a airplane and a banana, the airplane is bigger than the banana.",airplane,banana,,,bigger,,
"a car and a airplane, the car is bigger than the airplane.",car,airplane,,,bigger,,
"a horse and a person, the horse is bigger than the person.",horse,person,,,bigger,,
"a car and a horse, the car is larger than the horse.",car,horse,,,larger,,
"a chair and a banana, the chair is larger than the banana.",chair,banana,,,larger,,
"a person and a dog, the person is larger than the dog.",person,dog,,,larger,,
"a person and a dog, the person is bigger than the dog.",person,dog,,,bigger,,
"a banana and a car, the banana is smaller than the car.",banana,car,,,smaller,,
"a chair and a banana, the chair is bigger than the banana.",chair,banana,,,bigger,,
"a person and a airplane, the person is smaller than the airplane.",person,airplane,,,smaller,,
"a airplane and a banana, the airplane is larger than the banana.",airplane,banana,,,larger,,
"a car and a cat, the car is bigger than the cat.",car,cat,,,bigger,,
"a cat and a car, the cat is smaller than the car.",cat,car,,,smaller,,
"a person and a dog, the person is bigger than the dog.",person,dog,,,bigger,,
"a airplane and a chair, the airplane is smaller than the chair.",airplane,chair,,,smaller,,
"a person and a horse, the person is larger than the horse.",person,horse,,,larger,,
"a car and a horse, the car is bigger than the horse.",car,horse,,,bigger,,
"a chair and a cat, the chair is larger than the cat.",chair,cat,,,larger,,
"a dog and a banana, the dog is smaller than the banana.",dog,banana,,,smaller,,
"a person and a dog, the person is smaller than the dog.",person,dog,,,smaller,,
"a chair and a banana, the chair is larger than the banana.",chair,banana,,,larger,,
"a person and a banana, the person is smaller than the banana.",person,banana,,,smaller,,
"a chair and a horse, the chair is bigger than the horse.",chair,horse,,,bigger,,
"a chair and a car, the chair is larger than the car.",chair,car,,,larger,,
