meta_prompt,vanilla_prompt,n1,obj1,n2,obj2,synthetic_prompt
"In one sentence, Describe a real scene about 2 cup.",2 cup,2,cup,0,,two cups filled with steaming hot coffee sit side-by-side on a wooden table.
"In one sentence, Describe a real scene about 2 parking meter.",2 parking meter,2,parking meter,0,,"two parking meters are side-by-side, both displaying the same time limit and rate of payment."
"In one sentence, Describe a real scene about 2 baseball bat.",2 baseball bat,2,baseball bat,0,,"two baseball bats are lying side-by-side on a grassy field, waiting to be used in a game of baseball."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples are sitting side-by-side on a wooden table, their bright red skins glistening in the sunlight."
"In one sentence, Describe a real scene about 1 mouse.",1 mouse,1,mouse,0,,"a small brown mouse scurries across the kitchen floor, pausing briefly to sniff the air before continuing on its way."
"In one sentence, Describe a real scene about 2 orange.",2 orange,2,orange,0,,"two oranges sit side by side on a sun-drenched windowsill, glowing brightly in the afternoon light."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting in different rooms, working on their computers and communicating with each other over a video call."
"In one sentence, Describe a real scene about 1 toilet.",1 toilet,1,toilet,0,,"a single white toilet sits in the corner of a small, tiled bathroom, its lid slightly ajar."
"In one sentence, Describe a real scene about 1 keyboard.",1 keyboard,1,keyboard,0,,"a person is typing quickly on a black and silver laptop keyboard, their fingers flying over the keys as they focus on their work."
"In one sentence, Describe a real scene about 1 refrigerator.",1 refrigerator,1,refrigerator,0,,"a large white refrigerator sits in the corner of a kitchen, humming softly as it cools its contents."
"In one sentence, Describe a real scene about 1 surfboard.",1 surfboard,1,surfboard,0,,"a lone surfer stands atop a blue and white surfboard, riding the waves with ease."
"In one sentence, Describe a real scene about 2 couch.",2 couch,2,couch,0,,"two couches are facing each other in a cozy living room, surrounded by bookshelves and a warm fireplace."
"In one sentence, Describe a real scene about 2 refrigerator.",2 refrigerator,2,refrigerator,0,,"two refrigerators stand side-by-side in a kitchen, their stainless steel surfaces gleaming in the light."
"In one sentence, Describe a real scene about 2 frisbee.",2 frisbee,2,frisbee,0,,"two people are standing in a park, throwing a frisbee back and forth between them."
"In one sentence, Describe a real scene about 1 broccoli.",1 broccoli,1,broccoli,0,,"a single green broccoli floret sits atop a white plate, steam rising from its freshly boiled surface."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large, brown bear is standing on its hind legs in a grassy meadow, sniffing the air curiously."
"In one sentence, Describe a real scene about 2 skis.",2 skis,2,skis,0,,"two skiers are gliding down a snow-covered mountain, their skis cutting through the powdery snow."
"In one sentence, Describe a real scene about 1 orange.",1 orange,1,orange,0,,"a bright orange sits atop a white plate, its glossy skin glistening in the sunlight."
"In one sentence, Describe a real scene about 2 chair.",2 chair,2,chair,0,,"two chairs are sitting side-by-side in a cozy living room, providing a comfortable place to relax and enjoy a conversation."
"In one sentence, Describe a real scene about 2 scissors.",2 scissors,2,scissors,0,,"two scissors are lying side by side on a table, their blades slightly open and their handles facing each other."
"In one sentence, Describe a real scene about 1 carrot.",1 carrot,1,carrot,0,,"a bright orange carrot sits in a garden, freshly pulled from the ground and ready to be eaten."
"In one sentence, Describe a real scene about 2 bed.",2 bed,2,bed,0,,"two beds are side by side in a cozy bedroom, each with a colorful quilt and fluffy pillows."
"In one sentence, Describe a real scene about 1 teddy bear.",1 teddy bear,1,teddy bear,0,,"a small, brown teddy bear is sitting on a white bedspread, its soft fur illuminated by the sunlight streaming through the window."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting at separate desks in different parts of the world, communicating with each other via video call on their computers."
"In one sentence, Describe a real scene about 1 couch.",1 couch,1,couch,0,,"a cozy, beige couch sits in the living room, inviting people to sit down and relax."
"In one sentence, Describe a real scene about 2 refrigerator.",2 refrigerator,2,refrigerator,0,,"two large refrigerators stand side-by-side in a kitchen, their bright lights illuminating the room."
"In one sentence, Describe a real scene about 2 person.",2 person,2,person,0,,"two people are sitting in a cafe, laughing and talking over coffee."
"In one sentence, Describe a real scene about 1 apple.",1 apple,1,apple,0,,"a red apple sits on a wooden table, its glossy skin glistening in the sunlight."
"In one sentence, Describe a real scene about 2 bench.",2 bench,2,bench,0,,"two people are sitting on a park bench, talking and enjoying the sunshine."
"In one sentence, Describe a real scene about 1 frisbee.",1 frisbee,1,frisbee,0,,"a group of friends are playing frisbee in the park, laughing and enjoying the sunny day."
"In one sentence, Describe a real scene about 1 baseball glove.",1 baseball glove,1,baseball glove,0,,"a worn, brown leather baseball glove sits on the grass, ready to be used in a game."
"In one sentence, Describe a real scene about 1 parking meter.",1 parking meter,1,parking meter,0,,"a single parking meter stands alone on the sidewalk, its coin slot glinting in the sunlight."
"In one sentence, Describe a real scene about 2 snowboard.",2 snowboard,2,snowboard,0,,"two snowboarders are carving turns down a snowy mountain, their laughter echoing through the crisp winter air."
"In one sentence, Describe a real scene about 1 sandwich.",1 sandwich,1,sandwich,0,,"a freshly made turkey sandwich with lettuce, tomato, and mayonnaise sits on a plate in front of a hungry person."
"In one sentence, Describe a real scene about 1 horse.",1 horse,1,horse,0,,"a single white horse gallops across a grassy field, its mane and tail flowing in the wind."
"In one sentence, Describe a real scene about 1 zebra.",1 zebra,1,zebra,0,,"a single zebra stands in a grassy field, its white and black stripes standing out against the bright green background."
"In one sentence, Describe a real scene about 2 zebra.",2 zebra,2,zebra,0,,"two zebra are standing side-by-side in an open grassy field, their black and white stripes contrasting against the bright green landscape."
"In one sentence, Describe a real scene about 1 truck.",1 truck,1,truck,0,,"a large, red truck is driving down a winding country road, its engine roaring and exhaust billowing out behind it."
"In one sentence, Describe a real scene about 2 hot dog.",2 hot dog,2,hot dog,0,,"two hot dogs are sizzling on a grill, their buns toasted to a golden brown and the hot dogs themselves juicy and plump."
"In one sentence, Describe a real scene about 1 vase.",1 vase,1,vase,0,,"a white vase sits atop a wooden table, filled with a bouquet of freshly-cut flowers."
"In one sentence, Describe a real scene about 2 handbag.",2 handbag,2,handbag,0,,two women are standing in a store admiring a pair of matching black leather handbags.
"In one sentence, Describe a real scene about 2 tie.",2 tie,2,tie,0,,"two people are standing together, each wearing a crisp white shirt, a black suit, and a smart black tie."
"In one sentence, Describe a real scene about 2 tv.",2 tv,2,tv,0,,"two televisions are sitting side by side in a living room, both playing different shows."
"In one sentence, Describe a real scene about 1 remote.",1 remote,1,remote,0,,"a woman is sitting on her couch, typing away on her laptop, with a remote in her hand to control the television in front of her."
"In one sentence, Describe a real scene about 1 broccoli.",1 broccoli,1,broccoli,0,,a cook is carefully washing a single head of broccoli in a sink full of cold water.
"In one sentence, Describe a real scene about 2 microwave.",2 microwave,2,microwave,0,,"two microwaves are sitting side-by-side on a kitchen counter, both with their doors open and ready to be used."
"In one sentence, Describe a real scene about 1 tv.",1 tv,1,tv,0,,"a family is gathered around a large flat-screen television, enjoying a movie together."
"In one sentence, Describe a real scene about 2 orange.",2 orange,2,orange,0,,"two oranges sit side-by-side in a bright, sunny spot on a windowsill."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large brown bear is standing in a meadow, looking around curiously and sniffing the air."
"In one sentence, Describe a real scene about 2 tie.",2 tie,2,tie,0,,"two businessmen in identical grey suits, shaking hands and smiling as they exchange matching navy blue ties."
"In one sentence, Describe a real scene about 1 hair drier.",1 hair drier,1,hair drier,0,,"a woman is standing in front of a mirror, blow-drying her long hair with a white, handheld hair dryer."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people walking side-by-side down a rainy street, each holding a colorful umbrella."
"In one sentence, Describe a real scene about 1 cell phone.",1 cell phone,1,cell phone,0,,"a person sits in a cafe, tapping away on their cell phone, engrossed in a text conversation with a friend."
"In one sentence, Describe a real scene about 1 toaster.",1 toaster,1,toaster,0,,"a small, white toaster sits on the kitchen counter, its two slots popping up two slices of golden-brown toast."
"In one sentence, Describe a real scene about 1 motorcycle.",1 motorcycle,1,motorcycle,0,,"a black motorcycle is parked on the side of the road, its chrome engine glistening in the sun."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large black bear is standing on its hind legs, sniffing the air and looking around in a forest clearing."
"In one sentence, Describe a real scene about 2 tennis racket.",2 tennis racket,2,tennis racket,0,,"two tennis rackets rest on the side of a court, ready to be used by two players in an upcoming match."
"In one sentence, Describe a real scene about 1 skis.",1 skis,1,skis,0,,"a skier is gliding down a snowy slope, the sun glinting off the skis as they carve through the powder."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples sit side by side on a wooden table, their glossy red skins glinting in the sunlight."
"In one sentence, Describe a real scene about 2 chair.",2 chair,2,chair,0,,"two chairs are situated side-by-side in a cozy living room, facing a large window with a view of a beautiful garden."
"In one sentence, Describe a real scene about 2 oven.",2 oven,2,oven,0,,"two ovens are sitting side by side on a kitchen counter, emitting a warm, inviting smell of freshly baked goods."
"In one sentence, Describe a real scene about 2 remote.",2 remote,2,remote,0,,"two people are sitting in different locations, talking to each other over a video call on their laptops."
"In one sentence, Describe a real scene about 2 car.",2 car,2,car,0,,"two cars are stopped at a red light, waiting for the signal to change."
"In one sentence, Describe a real scene about 1 cat.",1 cat,1,cat,0,,"a white and grey tabby cat is lounging in a patch of sunlight, purring contentedly."
"In one sentence, Describe a real scene about 2 hair drier.",2 hair drier,2,hair drier,0,,"two people are standing in front of two hair driers, blow-drying their hair in a salon."
"In one sentence, Describe a real scene about 1 bird.",1 bird,1,bird,0,,"a bright yellow canary is perched on a branch, chirping cheerfully in the morning sunlight."
"In one sentence, Describe a real scene about 2 umbrella.",2 umbrella,2,umbrella,0,,"two people are standing side-by-side, each holding an umbrella to protect them from the rain."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large brown bear is standing in a clearing in the forest, sniffing the air for any potential food sources."
"In one sentence, Describe a real scene about 1 orange.",1 orange,1,orange,0,,"one orange sits in the middle of a white plate, its vibrant orange peel shining in the sunlight."
"In one sentence, Describe a real scene about 1 kite.",1 kite,1,kite,0,,"a bright yellow kite is soaring in the sky, its long tail trailing behind it in the wind."
"In one sentence, Describe a real scene about 2 cat.",2 cat,2,cat,0,,"two cats are curled up together on a sunny windowsill, purring contentedly."
"In one sentence, Describe a real scene about 2 kite.",2 kite,2,kite,0,,"two kites are soaring high in the sky, their colorful ribbons dancing in the wind."
"In one sentence, Describe a real scene about 2 orange.",2 orange,2,orange,0,,two oranges sit side-by-side in a bowl of fruit on a kitchen counter.
"In one sentence, Describe a real scene about 1 sheep.",1 sheep,1,sheep,0,,a single white sheep is peacefully grazing in a grassy meadow surrounded by trees and a babbling brook.
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,"a single white porcelain cup sits atop a wooden kitchen table, steam rising from the freshly brewed coffee inside."
"In one sentence, Describe a real scene about 1 truck.",1 truck,1,truck,0,,"a large red truck is parked in a gravel driveway, its powerful engine idling."
"In one sentence, Describe a real scene about 2 fire hydrant.",2 fire hydrant,2,fire hydrant,0,,"two fire hydrants are side-by-side on a city sidewalk, their bright red paint standing out against the grey concrete."
"In one sentence, Describe a real scene about 2 bear.",2 bear,2,bear,0,,"two bears are sitting peacefully next to each other in a meadow, enjoying the sun and the fresh air."
"In one sentence, Describe a real scene about 2 fork.",2 fork,2,fork,0,,"two forks are lying side-by-side on a dinner plate, ready to be used for a meal."
"In one sentence, Describe a real scene about 1 baseball glove.",1 baseball glove,1,baseball glove,0,,"a dusty, old baseball glove lies on the ground, its laces frayed and worn from years of use."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples lay side by side on a wooden table, their glossy red and green skins glinting in the sunlight."
"In one sentence, Describe a real scene about 1 oven.",1 oven,1,oven,0,,"a shiny stainless steel oven sits in the kitchen, its door open with the warm scent of freshly baked cookies wafting through the air."
"In one sentence, Describe a real scene about 2 zebra.",2 zebra,2,zebra,0,,"two zebras are standing side-by-side in a grassy field, their stripes blending together in the bright sunlight."
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,a ceramic white mug with a blue handle and one cup of steaming hot coffee sitting on a wooden table.
"In one sentence, Describe a real scene about 2 book.",2 book,2,book,0,,"two books lay side by side on a wooden table, their covers open and inviting to be read."
"In one sentence, Describe a real scene about 2 knife.",2 knife,2,knife,0,,"two people are standing in a kitchen, one holding a knife and the other holding a sharpening steel, honing the blade of the knife."
"In one sentence, Describe a real scene about 1 spoon.",1 spoon,1,spoon,0,,"a single silver spoon is perched atop a white porcelain plate, glinting in the morning sunlight."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples sit side by side in a basket, their bright red skins shining in the sunlight."
"In one sentence, Describe a real scene about 1 toothbrush.",1 toothbrush,1,toothbrush,0,,"a blue toothbrush with white bristles sits on a white porcelain sink, waiting to be used."
"In one sentence, Describe a real scene about 2 apple.",2 apple,2,apple,0,,"two apples sit side-by-side on a wooden table, one a bright, shiny red and the other a deep, glossy green."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a sleek black car is parked in a sunny driveway, glistening in the sunlight."
"In one sentence, Describe a real scene about 1 potted plant.",1 potted plant,1,potted plant,0,,"a single potted plant sits on a windowsill, its vibrant green leaves catching the sunlight streaming in from outside."
"In one sentence, Describe a real scene about 1 pizza.",1 pizza,1,pizza,0,,"a large pepperoni pizza is sitting on a kitchen counter, steam rising from the melted cheese and hot slices of pepperoni."
"In one sentence, Describe a real scene about 2 bowl.",2 bowl,2,bowl,0,,"two bowls sit side by side on a kitchen counter, filled with steaming hot soup."
"In one sentence, Describe a real scene about 1 chair.",1 chair,1,chair,0,,"one chair sits in the middle of a sunlit room, its bright yellow fabric contrasting against the white walls."
"In one sentence, Describe a real scene about 1 cup.",1 cup,1,cup,0,,"a single cup sits on a kitchen counter, steam rising from its contents."
"In one sentence, Describe a real scene about 2 traffic light.",2 traffic light,2,traffic light,0,,"two traffic lights side by side, one red and one green, are blinking in the darkness of the night."
"In one sentence, Describe a real scene about 1 bottle.",1 bottle,1,bottle,0,,"a single, half-empty, green glass bottle sits atop a wooden table in a sun-filled room."
"In one sentence, Describe a real scene about 1 person.",1 person,1,person,0,,"a young woman is sitting on a park bench, gazing out into the sunset with a contented smile on her face."
"In one sentence, Describe a real scene about 1 wine glass.",1 wine glass,1,wine glass,0,,"a single, delicate crystal wine glass sits atop a white linen tablecloth, filled with a deep red cabernet."
"In one sentence, Describe a real scene about 1 car.",1 car,1,car,0,,"a red sedan is parked in a driveway, with its engine humming softly in the background."
"In one sentence, Describe a real scene about 1 skateboard.",1 skateboard,1,skateboard,0,,"a teenage boy is skateboarding down a sidewalk, weaving around pedestrians and jumping over obstacles."
"In one sentence, Describe a real scene about 1 mouse.",1 mouse,1,mouse,0,,"a small, brown mouse scurries across the kitchen floor, its whiskers twitching as it searches for food."
"In one sentence, Describe a real scene about 1 fork.",1 fork,1,fork,0,,"a single silver fork is lying on a white plate on a dinner table, surrounded by a variety of dishes."
"In one sentence, Describe a real scene about 2 bicycle.",2 bicycle,2,bicycle,0,,two cyclists are riding side by side down a winding path in a park on a sunny day.
"In one sentence, Describe a real scene about 2 keyboard.",2 keyboard,2,keyboard,0,,"two people are sitting side by side at a desk, typing away on their respective keyboards."
"In one sentence, Describe a real scene about 1 oven.",1 oven,1,oven,0,,"a shiny stainless steel oven sits in the corner of the kitchen, its door invitingly open and the smell of freshly baked cookies wafting through the air."
"In one sentence, Describe a real scene about 2 bear.",2 bear,2,bear,0,,"two bears are peacefully eating berries in a meadow, their fur shining in the sunlight."
"In one sentence, Describe a real scene about 1 tv.",1 tv,1,tv,0,,"a family is gathered around a large flat-screen television, watching a movie together."
"In one sentence, Describe a real scene about 1 keyboard.",1 keyboard,1,keyboard,0,,"a person is typing rapidly on a black keyboard with white keys, their fingers moving quickly across the keys."
"In one sentence, Describe a real scene about 2 fork.",2 fork,2,fork,0,,"two forks resting side-by-side on a white plate, glinting in the sunlight coming through the window."
"In one sentence, Describe a real scene about 2 chair.",2 chair,2,chair,0,,"two chairs sit side by side in a cozy living room, providing a comfortable place to relax and enjoy conversation."
"In one sentence, Describe a real scene about 1 spoon.",1 spoon,1,spoon,0,,"a single silver spoon is laying on a white plate on a wooden table, reflecting the light from the sun streaming in through the window."
"In one sentence, Describe a real scene about 1 oven.",1 oven,1,oven,0,,"a shiny stainless steel oven sits in the corner of a modern kitchen, its door open to reveal a tray of freshly baked cookies."
"In one sentence, Describe a real scene about 1 book.",1 book,1,book,0,,alice in wonderland is a classic book that follows alice as she falls down a rabbit hole and enters a surreal and magical world.
"In one sentence, Describe a real scene about 1 skateboard.",1 skateboard,1,skateboard,0,,"a young boy is skateboarding down a sidewalk, his long hair blowing in the wind as he executes tricks with ease."
"In one sentence, Describe a real scene about 1 bear.",1 bear,1,bear,0,,"a large, brown bear is slowly walking through a forest, sniffing the air and searching for food."
"In one sentence, Describe a real scene about 2 bed.",2 bed,2,bed,0,,"two beds, side by side, with fluffy white comforters and pillows, sit in a sunlit bedroom, waiting to be slept in."
"In one sentence, Describe a real scene about 1 dog.",1 dog,1,dog,0,,"a small white terrier is running around in a park, chasing a tennis ball and barking excitedly."
"In one sentence, Describe a real scene about 2 skis.",2 skis,2,skis,0,,"two skiers are zipping down a powdery mountain slope, their skis carving graceful arcs in the snow."
"In one sentence, Describe a real scene about 1 potted plant.",1 potted plant,1,potted plant,0,,"a small, vibrant green potted plant sits on a windowsill, basking in the sun's rays."
"In one sentence, Describe a real scene about 2 baseball bat.",2 baseball bat,2,baseball bat,0,,"two baseball bats lay side by side in the grass, their wooden handles shining in the sunlight."
"In one sentence, Describe a real scene about 1 teddy bear.",1 teddy bear,1,teddy bear,0,,"a teddy bear sits on a bed, its brown fur looking soft and inviting."
"In one sentence, Describe a real scene about 2 pizza.",2 pizza,2,pizza,0,,"two pizzas are sitting on a kitchen counter, freshly baked and steaming, with melted cheese and fragrant herbs scattered on top."
"In one sentence, Describe a real scene about 1 couch.",1 couch,1,couch,0,,"a cozy, brown leather couch sits in the corner of the living room, inviting people to sit and relax."
"In one sentence, Describe a real scene about 1 spoon.",1 spoon,1,spoon,0,,"a single silver spoon rests on a white plate, its reflection shining in the light."
"In one sentence, Describe a real scene about 1 backpack.",1 backpack,1,backpack,0,,"a young girl is walking down the street with a bright pink backpack on her back, filled with books and other supplies for school."
"In one sentence, Describe a real scene about 2 bicycle.",2 bicycle,2,bicycle,0,,"two cyclists ride side-by-side down a winding country road, the wind blowing through their hair and the sun shining down on them."
"In one sentence, Describe a real scene about 2 bear.",2 bear,2,bear,0,,"two bears are standing on their hind legs, facing each other and growling in a territorial dispute."
"In one sentence, Describe a real scene about 2 laptop.",2 laptop,2,laptop,0,,"two people are sitting side by side at a cafe, both typing away on their laptops."
"In one sentence, Describe a real scene about 2 bird.",2 bird,2,bird,0,,"two birds are perched atop a tree, chirping happily in the warm morning sun."
"In one sentence, Describe a real scene about 1 clock.",1 clock,1,clock,0,,"at one o'clock, the sun is beginning to set and the sky is turning a beautiful pink and orange."
"In one sentence, Describe a real scene about 1 baseball glove.",1 baseball glove,1,baseball glove,0,,"a baseball glove sits on the grass, its leather tanned and worn from years of use."
"In one sentence, Describe a real scene about 2 surfboard.",2 surfboard,2,surfboard,0,,"two surfers are standing on the beach, their surfboards tucked under their arms, ready to take on the waves."
"In one sentence, Describe a real scene about 2 bed.",2 bed,2,bed,0,,"two beds are placed side-by-side in a cozy bedroom, with colorful quilts and pillows scattered across them."
"In one sentence, Describe a real scene about 1 broccoli.",1 broccoli,1,broccoli,0,,"one broccoli sits alone in a white bowl on a kitchen counter, its florets bright green and its stem firm and fresh."
"In one sentence, Describe a real scene about 1 mouse.",1 mouse,1,mouse,0,,"a small brown mouse scurries around a kitchen floor, searching for crumbs."
"In one sentence, Describe a real scene about 2 toaster.",2 toaster,2,toaster,0,,"two toasters sitting side-by-side on a kitchen counter, their toast popping up in unison."
"In one sentence, Describe a real scene about 1 train.",1 train,1,train,0,,"a crowded train is slowly chugging down the tracks, filled with passengers eagerly awaiting their destination."
"In one sentence, Describe a real scene about 1 refrigerator.",1 refrigerator,1,refrigerator,0,,"a white refrigerator hums in the corner of the kitchen, its shelves filled with food and drinks."
"In one sentence, Describe a real scene about 1 bed.",1 bed,1,bed,0,,"a white queen-sized bed with a navy blue comforter and matching pillows sits in the middle of a cozy bedroom, surrounded by a cream-colored rug and walls."
"In one sentence, Describe a real scene about 1 bird.",1 bird,1,bird,0,,"a bright yellow canary is perched atop a tree branch, chirping happily in the morning sunlight."
"In one sentence, Describe a real scene about 1 skateboard.",1 skateboard,1,skateboard,0,,"a teenage boy is casually skateboarding down a sidewalk, showing off his tricks and enjoying the warm summer day."
"In one sentence, Describe a real scene about 1 toilet.",1 toilet,1,toilet,0,,"a white porcelain toilet sits in a small, tiled bathroom, its lid open and its bowl sparkling clean."
"In one sentence, Describe a real scene about 2 microwave.",2 microwave,2,microwave,0,,"two microwaves are sitting side by side on a kitchen counter, humming as they heat up different meals."
"In one sentence, Describe a real scene about 1 bird.",1 bird,1,bird,0,,"a single red robin hops around a grassy field, chirping happily."
"In one sentence, Describe a real scene about 2 broccoli.",2 broccoli,2,broccoli,0,,"two broccoli heads sit side-by-side in a bowl of water on the kitchen counter, their vibrant green heads glistening in the light."
"In one sentence, Describe a real scene about 2 giraffe.",2 giraffe,2,giraffe,0,,"two giraffes are standing side by side in a grassy field, their long necks stretching up into the sky."
"In one sentence, Describe a real scene about 1 dog.",1 dog,1,dog,0,,"a small, white, fluffy dog is happily running around a grassy park, chasing after a bright red ball."
"In one sentence, Describe a real scene about 1 refrigerator.",1 refrigerator,1,refrigerator,0,,"a stainless steel refrigerator stands in the corner of the kitchen, its shelves and drawers filled with food and drinks."
"In one sentence, Describe a real scene about 1 surfboard.",1 surfboard,1,surfboard,0,,"a surfer is standing on a beach, holding a bright blue surfboard with white stripes and a yellow flower design."
"In one sentence, Describe a real scene about 1 cat.",1 cat,1,cat,0,,"a black and white cat is sitting in a sunny spot on the windowsill, lazily watching the birds outside."
"In one sentence, Describe a real scene about 2 surfboard.",2 surfboard,2,surfboard,0,,"two surfers are paddling out to the ocean on their surfboards, ready to catch some waves."
"In one sentence, Describe a real scene about 2 frisbee.",2 frisbee,2,frisbee,0,,two friends are throwing a frisbee back and forth in a park on a sunny day.
