meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
a horse below a car.,horse,car,,,below,,
a dog on a banana.,dog,banana,,,on,,
a chair below a horse.,chair,horse,,,below,,
a dog under a airplane.,dog,airplane,,,under,,
a airplane under a horse.,airplane,horse,,,under,,
a horse above a airplane.,horse,airplane,,,above,,
a cat over a person.,cat,person,,,over,,
a horse above a cat.,horse,cat,,,above,,
a car on a cat.,car,cat,,,on,,
a cat below a chair.,cat,chair,,,below,,
a cat over a airplane.,cat,airplane,,,over,,
a banana on a horse.,banana,horse,,,on,,
a person under a car.,person,car,,,under,,
a airplane under a person.,airplane,person,,,under,,
a car on the left of a airplane.,car,airplane,,,on the left of,,
a cat on the right of a airplane.,cat,airplane,,,on the right of,,
a airplane above a chair.,airplane,chair,,,above,,
a dog on the left of a banana.,dog,banana,,,on the left of,,
a cat over a dog.,cat,dog,,,over,,
a chair under a banana.,chair,banana,,,under,,
a person on the right of a banana.,person,banana,,,on the right of,,
a car on the left of a cat.,car,cat,,,on the left of,,
a dog on the left of a horse.,dog,horse,,,on the left of,,
a car on the left of a person.,car,person,,,on the left of,,
a horse below a person.,horse,person,,,below,,
a banana below a horse.,banana,horse,,,below,,
a person over a airplane.,person,airplane,,,over,,
a dog on the right of a person.,dog,person,,,on the right of,,
a chair on a cat.,chair,cat,,,on,,
a dog on the left of a car.,dog,car,,,on the left of,,
a cat on the left of a chair.,cat,chair,,,on the left of,,
a person above a airplane.,person,airplane,,,above,,
a car over a banana.,car,banana,,,over,,
a cat on a person.,cat,person,,,on,,
a airplane above a car.,airplane,car,,,above,,
a banana under a dog.,banana,dog,,,under,,
a chair below a airplane.,chair,airplane,,,below,,
a dog below a banana.,dog,banana,,,below,,
a airplane on the right of a banana.,airplane,banana,,,on the right of,,
a airplane under a chair.,airplane,chair,,,under,,
a banana on the right of a chair.,banana,chair,,,on the right of,,
a chair on the right of a horse.,chair,horse,,,on the right of,,
a chair on a banana.,chair,banana,,,on,,
a car over a horse.,car,horse,,,over,,
a horse on the left of a cat.,horse,cat,,,on the left of,,
a dog on a cat.,dog,cat,,,on,,
a horse over a banana.,horse,banana,,,over,,
a cat above a person.,cat,person,,,above,,
a airplane above a dog.,airplane,dog,,,above,,
a horse over a banana.,horse,banana,,,over,,
a airplane above a chair.,airplane,chair,,,above,,
a person beneath a chair.,person,chair,,,beneath,,
a dog on a person.,dog,person,,,on,,
a chair above a banana.,chair,banana,,,above,,
a airplane above a car.,airplane,car,,,above,,
a cat above a airplane.,cat,airplane,,,above,,
a banana under a chair.,banana,chair,,,under,,
a person above a banana.,person,banana,,,above,,
a car above a dog.,car,dog,,,above,,
a airplane below a horse.,airplane,horse,,,below,,
a dog on the left of a chair.,dog,chair,,,on the left of,,
a airplane on the right of a chair.,airplane,chair,,,on the right of,,
a horse on the right of a banana.,horse,banana,,,on the right of,,
a person under a airplane.,person,airplane,,,under,,
a banana on the right of a horse.,banana,horse,,,on the right of,,
a cat over a person.,cat,person,,,over,,
a chair on a airplane.,chair,airplane,,,on,,
a chair on the right of a banana.,chair,banana,,,on the right of,,
a airplane under a car.,airplane,car,,,under,,
a banana on the left of a chair.,banana,chair,,,on the left of,,
a chair below a cat.,chair,cat,,,below,,
a person on the left of a banana.,person,banana,,,on the left of,,
a horse on the right of a person.,horse,person,,,on the right of,,
a dog above a person.,dog,person,,,above,,
a chair below a cat.,chair,cat,,,below,,
a cat on the right of a chair.,cat,chair,,,on the right of,,
a airplane under a car.,airplane,car,,,under,,
a airplane on the left of a dog.,airplane,dog,,,on the left of,,
a cat above a dog.,cat,dog,,,above,,
a airplane below a horse.,airplane,horse,,,below,,
a car above a cat.,car,cat,,,above,,
a car above a cat.,car,cat,,,above,,
a dog under a horse.,dog,horse,,,under,,
a chair over a airplane.,chair,airplane,,,over,,
a car over a cat.,car,cat,,,over,,
a dog on the left of a person.,dog,person,,,on the left of,,
a chair under a cat.,chair,cat,,,under,,
a chair beneath a airplane.,chair,airplane,,,beneath,,
a airplane beneath a banana.,airplane,banana,,,beneath,,
a banana below a chair.,banana,chair,,,below,,
a cat beneath a airplane.,cat,airplane,,,beneath,,
a person below a horse.,person,horse,,,below,,
a cat below a dog.,cat,dog,,,below,,
a chair under a person.,chair,person,,,under,,
a person above a cat.,person,cat,,,above,,
a person above a dog.,person,dog,,,above,,
a banana over a airplane.,banana,airplane,,,over,,
a cat on a banana.,cat,banana,,,on,,
a car beneath a cat.,car,cat,,,beneath,,
a car beneath a cat.,car,cat,,,beneath,,
a dog over a car.,dog,car,,,over,,
a chair over a car.,chair,car,,,over,,
a airplane above a chair.,airplane,chair,,,above,,
a car on the left of a chair.,car,chair,,,on the left of,,
a dog on the left of a banana.,dog,banana,,,on the left of,,
a person on the left of a airplane.,person,airplane,,,on the left of,,
a dog under a airplane.,dog,airplane,,,under,,
a banana on a chair.,banana,chair,,,on,,
a cat below a horse.,cat,horse,,,below,,
a airplane over a chair.,airplane,chair,,,over,,
a airplane below a person.,airplane,person,,,below,,
a banana above a horse.,banana,horse,,,above,,
a banana on the right of a horse.,banana,horse,,,on the right of,,
a airplane on the right of a dog.,airplane,dog,,,on the right of,,
a dog above a chair.,dog,chair,,,above,,
a chair above a person.,chair,person,,,above,,
a airplane under a horse.,airplane,horse,,,under,,
a chair above a horse.,chair,horse,,,above,,
a chair under a car.,chair,car,,,under,,
a horse above a banana.,horse,banana,,,above,,
a horse on the left of a banana.,horse,banana,,,on the left of,,
a person below a cat.,person,cat,,,below,,
a chair beneath a banana.,chair,banana,,,beneath,,
a airplane on a chair.,airplane,chair,,,on,,
a cat below a dog.,cat,dog,,,below,,
a horse under a dog.,horse,dog,,,under,,
a airplane on the left of a horse.,airplane,horse,,,on the left of,,
a person on the left of a dog.,person,dog,,,on the left of,,
a person over a horse.,person,horse,,,over,,
a banana below a dog.,banana,dog,,,below,,
a person on a airplane.,person,airplane,,,on,,
a person on a chair.,person,chair,,,on,,
a cat on a chair.,cat,chair,,,on,,
a person beneath a chair.,person,chair,,,beneath,,
a car on a chair.,car,chair,,,on,,
a horse above a cat.,horse,cat,,,above,,
a car on the left of a chair.,car,chair,,,on the left of,,
a cat below a car.,cat,car,,,below,,
a airplane over a dog.,airplane,dog,,,over,,
a dog over a airplane.,dog,airplane,,,over,,
a cat on the left of a airplane.,cat,airplane,,,on the left of,,
a car on the left of a airplane.,car,airplane,,,on the left of,,
a cat on the left of a airplane.,cat,airplane,,,on the left of,,
a chair beneath a dog.,chair,dog,,,beneath,,
a dog below a car.,dog,car,,,below,,
a chair under a cat.,chair,cat,,,under,,
a car on a airplane.,car,airplane,,,on,,
a airplane on a horse.,airplane,horse,,,on,,
a chair under a banana.,chair,banana,,,under,,
a airplane under a dog.,airplane,dog,,,under,,
a banana on the left of a dog.,banana,dog,,,on the left of,,
a dog below a cat.,dog,cat,,,below,,
a chair above a banana.,chair,banana,,,above,,
a banana on the right of a dog.,banana,dog,,,on the right of,,
a airplane on a dog.,airplane,dog,,,on,,
a dog on a airplane.,dog,airplane,,,on,,
a dog on the right of a horse.,dog,horse,,,on the right of,,
a car on the right of a chair.,car,chair,,,on the right of,,
a person on a banana.,person,banana,,,on,,
a banana on a dog.,banana,dog,,,on,,
a cat under a dog.,cat,dog,,,under,,
a person above a chair.,person,chair,,,above,,
a cat below a chair.,cat,chair,,,below,,
a horse above a car.,horse,car,,,above,,
a dog over a airplane.,dog,airplane,,,over,,
a cat above a chair.,cat,chair,,,above,,
a chair on the right of a car.,chair,car,,,on the right of,,
a horse on a car.,horse,car,,,on,,
a airplane above a person.,airplane,person,,,above,,
a dog over a chair.,dog,chair,,,over,,
a car beneath a cat.,car,cat,,,beneath,,
a horse on the right of a airplane.,horse,airplane,,,on the right of,,
a person on the right of a horse.,person,horse,,,on the right of,,
a dog above a banana.,dog,banana,,,above,,
a horse on the right of a airplane.,horse,airplane,,,on the right of,,
a cat on the left of a car.,cat,car,,,on the left of,,
a chair on the right of a banana.,chair,banana,,,on the right of,,
a chair above a car.,chair,car,,,above,,
a horse above a car.,horse,car,,,above,,
a car below a airplane.,car,airplane,,,below,,
a dog over a car.,dog,car,,,over,,
a dog beneath a person.,dog,person,,,beneath,,
a cat below a airplane.,cat,airplane,,,below,,
a horse on the right of a banana.,horse,banana,,,on the right of,,
a banana beneath a airplane.,banana,airplane,,,beneath,,
a chair over a banana.,chair,banana,,,over,,
a dog on a chair.,dog,chair,,,on,,
a cat over a dog.,cat,dog,,,over,,
a cat on a car.,cat,car,,,on,,
a chair on a horse.,chair,horse,,,on,,
a chair above a dog.,chair,dog,,,above,,
a banana above a person.,banana,person,,,above,,
a car on the left of a banana.,car,banana,,,on the left of,,
a cat beneath a dog.,cat,dog,,,beneath,,
a person on the left of a horse.,person,horse,,,on the left of,,
a car over a cat.,car,cat,,,over,,
a airplane beneath a car.,airplane,car,,,beneath,,
a dog on the left of a horse.,dog,horse,,,on the left of,,
a dog beneath a car.,dog,car,,,beneath,,
a person above a dog.,person,dog,,,above,,
a person on the right of a horse.,person,horse,,,on the right of,,
a person below a cat.,person,cat,,,below,,
a cat under a person.,cat,person,,,under,,
a dog above a chair.,dog,chair,,,above,,
a airplane beneath a person.,airplane,person,,,beneath,,
a cat on a dog.,cat,dog,,,on,,
a banana on the right of a airplane.,banana,airplane,,,on the right of,,
a car over a horse.,car,horse,,,over,,
a banana below a dog.,banana,dog,,,below,,
